Name: Vo Pham Mai Uyen,ID:1831100044
Report Database -- PROJECTD

Speed,Direction
0.0,1,2023-06-30 10:25:51
0.0,1,2023-06-30 10:25:54
0.0,1,2023-06-30 10:25:57
0.0,1,2023-06-30 10:26:00
0.0,1,2023-06-30 10:26:03
12.67,1,2023-06-30 10:26:06
13.55,1,2023-06-30 10:26:09
0.0,1,2023-06-30 10:26:12
0.0,1,2023-06-30 10:26:16
0.0,1,2023-06-30 10:26:19
16.61,1,2023-06-30 10:26:22
15.3,1,2023-06-30 10:26:25
15.73,1,2023-06-30 10:26:28
16.17,1,2023-06-30 10:26:31
17.05,1,2023-06-30 10:26:34
17.48,-1,2023-06-30 10:26:37
17.92,-1,2023-06-30 10:26:40
17.48,1,2023-06-30 10:26:43
18.79,1,2023-06-30 10:26:46
18.79,1,2023-06-30 10:26:50
10.93,-1,2023-06-30 10:26:53
18.36,-1,2023-06-30 10:26:56
18.79,-1,2023-06-30 10:26:59
0.0,1,2023-06-30 10:27:02
0.0,1,2023-06-30 10:27:05
0.0,1,2023-06-30 10:27:08
0.0,1,2023-06-30 10:27:11
0.0,1,2023-06-30 10:27:14
0.0,1,2023-06-30 10:27:17
0.0,1,2023-06-30 10:27:20
0.0,1,2023-06-30 10:27:23
0.0,1,2023-06-30 10:27:27
0.0,1,2023-06-30 10:27:30
0.0,1,2023-06-30 10:27:33
0.0,1,2023-06-30 10:27:36
0.0,1,2023-06-30 10:27:39
0.0,1,2023-06-30 10:27:42
0.0,1,2023-06-30 10:27:45
0.0,1,2023-06-30 10:27:48
0.0,1,2023-06-30 10:27:51
0.0,1,2023-06-30 10:27:54
0.0,1,2023-06-30 10:27:57
0.0,1,2023-06-30 10:28:00
0.0,1,2023-06-30 10:28:04
0.0,1,2023-06-30 10:28:07
0.0,1,2023-06-30 10:28:10
0.0,1,2023-06-30 10:28:13
0.0,1,2023-06-30 10:28:16
0.0,1,2023-06-30 10:28:19
0.0,1,2023-06-30 10:28:22
0.0,-1,2023-06-30 10:42:05
0.0,-1,2023-06-30 10:42:09
0.0,-1,2023-06-30 10:42:12
0.0,-1,2023-06-30 10:42:15
0.0,-1,2023-06-30 10:42:18
0.0,-1,2023-06-30 10:42:21
0.0,-1,2023-06-30 10:42:24
0.0,-1,2023-06-30 10:42:27
0.0,1,2023-06-30 10:42:30
0.0,1,2023-06-30 10:42:33
0.0,1,2023-06-30 10:42:36
0.0,1,2023-06-30 10:42:39
